"filename", "language", "JavaScript", "PowerShell", "TypeScript", "JSON with Comments", "PostCSS", "Markdown", "TypeScript JSX", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\.qoder\repowiki\en\content\Troubleshooting.md", "Markdown", 0, 0, 0, 0, 0, 447, 0, 0, 0, 0, 109, 556
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\.qoder\repowiki\en\content\UI Components\Building Detail View Component.md", "Markdown", 0, 0, 0, 0, 0, 271, 0, 0, 0, 0, 49, 320
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\.qoder\repowiki\en\content\UI Components\Error Boundary Component.md", "Markdown", 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 75, 356
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\.qoder\repowiki\en\content\UI Components\Icon System.md", "Markdown", 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 36, 294
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\.qoder\repowiki\en\content\UI Components\Item Detail View Component.md", "Markdown", 0, 0, 0, 0, 0, 313, 0, 0, 0, 0, 55, 368
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\.qoder\repowiki\en\content\UI Components\Search Bar Component.md", "Markdown", 0, 0, 0, 0, 0, 266, 0, 0, 0, 0, 60, 326
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\.qoder\repowiki\en\content\UI Components\UI Components.md", "Markdown", 0, 0, 0, 0, 0, 338, 0, 0, 0, 0, 60, 398
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\.qoder\repowiki\en\meta\repowiki-metadata.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\App.restored.from.map.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15158, 0, 0, 1127, 1688, 17973
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\App.test2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15158, 0, 0, 1127, 1688, 17973
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\App.test3.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15158, 0, 0, 1127, 1688, 17973
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\App.test_restore.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15158, 0, 0, 1127, 1688, 17973
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17120, 0, 0, 1113, 1832, 20065
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\LoadingScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 191, 0, 0, 6, 14, 211
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\README.md", "Markdown", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 8, 21
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\add_building_schema_fields.mjs", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 98
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\add_gender_field.mjs", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 104
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\analyze_line.cjs", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\analyze_mojibake.cjs", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\append_buildings.cjs", "JavaScript", 399, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 415
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\apply_restoration_final.ps1", "PowerShell", 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 12, 68
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_build.mjs", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_cannon364.mjs", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 44
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_elections.mjs", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 88
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_folders.cjs", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_idp.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_monster_count.mjs", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 66
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_monsters.mjs", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_pb.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_regressions_worker6.mjs", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 70
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_rules.mjs", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\check_schema.mjs", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 76
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\clean_all_monsters_complete.mjs", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18, 105
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\clean_all_monsters_fresh.mjs", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 54
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\clean_monsters_direct.mjs", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 111
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\clean_monsters_final.mjs", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 64
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\clean_monsters_for_new_spawn.mjs", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 99
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\clean_orphans.mjs", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 40
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\cleanup_building_resource_overlaps.mjs", "JavaScript", 186, 0, 0, 0, 0, 0, 0, 0, 0, 22, 33, 241
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\cleanup_buildings_combat_legacy.mjs", "JavaScript", 145, 0, 0, 0, 0, 0, 0, 0, 0, 28, 26, 199
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\cleanup_elections.mjs", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21, 140
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\clear_database.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\clear_loot.mjs", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 99
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\components\BuildingDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 14, 151
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\components\ErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 13, 78
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\components\IconComponents.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 36, 191
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\components\ItemDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 7, 59
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\components\SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_alchemy_factory_anim.cjs", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 59
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_detonator_factory_anim.cjs", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 54
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_emerald_factory_anim.cjs", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 86
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_flags_anim.cjs", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_gold_smelter_anim.cjs", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 86
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_lily_pond_anim.cjs", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 76
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_mine_anim.cjs", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 77
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_monster_academy_anim.cjs", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 81
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_mushroom_bed_anim.cjs", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 81
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_oil_rig.cjs", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_recommendation_factory.cjs", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_steel_rolling_mill_anim.cjs", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 86
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_steel_smelting_anim.cjs", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 61
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_stone_crusher_anim.cjs", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 60
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\copy_wild_quarry.cjs", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\count_monsters.mjs", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 40
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\create_elections_collection.mjs", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 142
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\create_elections_http.mjs", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27, 173
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\data\buildings.ts", "TypeScript", 0, 0, 63584, 0, 0, 0, 0, 0, 0, 50, 5, 63639
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\data\items.ts", "TypeScript", 0, 0, 411, 0, 0, 0, 0, 0, 0, 1, 3, 415
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\debug_schema.mjs", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 56
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\debug_spawn.mjs", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 73
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\delete_all_cannons.mjs", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 51
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\delete_all_monsters_force.mjs", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 108
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\delete_duplicate_monsters.mjs", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 63
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\deploy.cjs", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\deploy.ps1", "PowerShell", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\deploy_auto.cjs", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 39
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\deploy_ssh2.cjs", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 109
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\diag2.mjs", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 67
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\diag_monsters.mjs", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 64
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\diag_townhall.mjs", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 138
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\diagnose_blue.mjs", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 39
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\dump_map_state.mjs", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\emergency_mojibake_cleanup.cjs", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 28
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\explode_all_cannons.mjs", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 72
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\export_firebase.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 43
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\final_performance_optimization.cjs", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 56
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\final_string_fix.cjs", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 28
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\find_consts.cjs", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 39
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\find_initializers.cjs", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\find_nan.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\find_nested.cjs", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\find_nested.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\find_returns.cjs", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 38
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\firebase-blueprint.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 1, 191
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_app_braces.ps1", "PowerShell", 0, 108, 0, 0, 0, 0, 0, 0, 0, 4, 25, 137
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_broken_strings.cjs", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 26
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_buildings_migration.mjs", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 14, 11, 71
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_cannon_debug.ps1", "PowerShell", 0, 60, 0, 0, 0, 0, 0, 0, 0, 3, 8, 71
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_cannon_future_bug.ps1", "PowerShell", 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 3, 20
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_cannon_log.ps1", "PowerShell", 0, 54, 0, 0, 0, 0, 0, 0, 0, 1, 6, 61
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_cannon_owner.ps1", "PowerShell", 0, 57, 0, 0, 0, 0, 0, 0, 0, 2, 7, 66
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_cannon_range.ps1", "PowerShell", 0, 92, 0, 0, 0, 0, 0, 0, 0, 5, 10, 107
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_cannons_db.mjs", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 56
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_drawing_lines.cjs", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 27
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_elections.mjs", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27, 174
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_mail_schema.mjs", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 83
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_monster_hp.mjs", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 23, 20, 154
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_schema.mjs", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 158
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_schema2.mjs", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 39
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_schema_final.mjs", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 79
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_schema_final_v2.mjs", "JavaScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 94
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_sorting_final.cjs", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_strings.cjs", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 15
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\fix_strings_v2.cjs", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\force_reload.mjs", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 47
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\global_syntax_fix.cjs", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\implementation_plan.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\import_buildings.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\import_pocketbase.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 157
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 192, 0, 20, 212
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\items_map.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\list_dbs.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\list_types.mjs", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 38
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\mass_delete_monsters.mjs", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20, 138
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\metadata.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\migrate_zones_80.mjs", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 59
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\migrated_prompt_history\prompt_2025-11-25T05_56_12.724Z.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 209
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\optimization_fix.cjs", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 69
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 4140, 0, 0, 1, 4141
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 33
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\performance_and_lang_fix.cjs", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 100
"c:\Users\User\.antigravity\extensions\goldwasdx-svg-BASINGSEMMORPGREALTIME-main\quick_reset_map.mjs", "JavaScript", 254, 0, 0, 0, 0, 0, 0, 0, 0, 29, 37, 320
